call_id,ground_truth,failure_type
synthetic_normal_refund_0000,normal,
synthetic_normal_refund_0001,normal,
synthetic_normal_refund_0002,normal,
synthetic_normal_refund_0003,normal,
synthetic_normal_refund_0004,normal,
synthetic_normal_refund_0005,normal,
synthetic_normal_refund_0006,normal,
synthetic_normal_refund_0007,normal,
synthetic_normal_refund_0008,normal,
synthetic_normal_refund_0009,normal,
synthetic_normal_refund_0010,normal,
synthetic_normal_refund_0011,normal,
synthetic_normal_refund_0012,normal,
synthetic_normal_refund_0013,normal,
synthetic_normal_refund_0014,normal,
synthetic_normal_refund_0015,normal,
synthetic_normal_refund_0016,normal,
synthetic_normal_refund_0017,normal,
synthetic_normal_refund_0018,normal,
synthetic_normal_refund_0019,normal,
synthetic_normal_refund_0020,normal,
synthetic_normal_refund_0021,normal,
synthetic_normal_refund_0022,normal,
synthetic_normal_refund_0023,normal,
synthetic_normal_refund_0024,normal,
synthetic_normal_refund_0025,normal,
synthetic_normal_refund_0026,normal,
synthetic_normal_refund_0027,normal,
synthetic_normal_refund_0028,normal,
synthetic_normal_refund_0029,normal,
synthetic_normal_refund_0030,normal,
synthetic_normal_refund_0031,normal,
synthetic_normal_refund_0032,normal,
synthetic_normal_refund_0033,normal,
synthetic_normal_refund_0034,normal,
synthetic_normal_refund_0035,normal,
synthetic_normal_refund_0036,normal,
synthetic_normal_refund_0037,normal,
synthetic_normal_refund_0038,normal,
synthetic_normal_refund_0039,normal,
synthetic_normal_refund_0040,normal,
synthetic_normal_refund_0041,normal,
synthetic_normal_refund_0042,normal,
synthetic_normal_refund_0043,normal,
synthetic_normal_refund_0044,normal,
synthetic_normal_refund_0045,normal,
synthetic_normal_refund_0046,normal,
synthetic_normal_refund_0047,normal,
synthetic_normal_refund_0048,normal,
synthetic_normal_refund_0049,normal,
synthetic_normal_refund_0050,normal,
synthetic_normal_refund_0051,normal,
synthetic_normal_refund_0052,normal,
synthetic_normal_refund_0053,normal,
synthetic_normal_refund_0054,normal,
synthetic_normal_refund_0055,normal,
synthetic_normal_refund_0056,normal,
synthetic_normal_refund_0057,normal,
synthetic_normal_refund_0058,normal,
synthetic_normal_refund_0059,normal,
synthetic_normal_refund_0060,normal,
synthetic_normal_refund_0061,normal,
synthetic_normal_refund_0062,normal,
synthetic_normal_refund_0063,normal,
synthetic_normal_refund_0064,normal,
synthetic_normal_refund_0065,normal,
synthetic_normal_refund_0066,normal,
synthetic_normal_refund_0067,normal,
synthetic_normal_refund_0068,normal,
synthetic_normal_refund_0069,normal,
synthetic_normal_refund_0070,normal,
synthetic_normal_refund_0071,normal,
synthetic_normal_refund_0072,normal,
synthetic_normal_refund_0073,normal,
synthetic_normal_refund_0074,normal,
synthetic_normal_refund_0075,normal,
synthetic_normal_refund_0076,normal,
synthetic_normal_refund_0077,normal,
synthetic_normal_refund_0078,normal,
synthetic_normal_refund_0079,normal,
synthetic_normal_refund_0080,normal,
synthetic_normal_refund_0081,normal,
synthetic_normal_refund_0082,normal,
synthetic_normal_refund_0083,normal,
synthetic_normal_refund_0084,normal,
synthetic_normal_refund_0085,normal,
synthetic_normal_refund_0086,normal,
synthetic_normal_refund_0087,normal,
synthetic_normal_refund_0088,normal,
synthetic_normal_refund_0089,normal,
synthetic_normal_refund_0090,normal,
synthetic_normal_refund_0091,normal,
synthetic_normal_refund_0092,normal,
synthetic_normal_refund_0093,normal,
synthetic_normal_refund_0094,normal,
synthetic_normal_refund_0095,normal,
synthetic_normal_refund_0096,normal,
synthetic_normal_refund_0097,normal,
synthetic_normal_refund_0098,normal,
synthetic_normal_refund_0099,normal,
synthetic_normal_refund_0100,normal,
synthetic_normal_refund_0101,normal,
synthetic_normal_refund_0102,normal,
synthetic_normal_refund_0103,normal,
synthetic_normal_refund_0104,normal,
synthetic_normal_refund_0105,normal,
synthetic_normal_refund_0106,normal,
synthetic_normal_refund_0107,normal,
synthetic_normal_refund_0108,normal,
synthetic_normal_refund_0109,normal,
synthetic_normal_refund_0110,normal,
synthetic_normal_refund_0111,normal,
synthetic_normal_refund_0112,normal,
synthetic_normal_refund_0113,normal,
synthetic_normal_refund_0114,normal,
synthetic_normal_refund_0115,normal,
synthetic_normal_refund_0116,normal,
synthetic_normal_refund_0117,normal,
synthetic_normal_refund_0118,normal,
synthetic_normal_refund_0119,normal,
synthetic_normal_refund_0120,normal,
synthetic_normal_refund_0121,normal,
synthetic_normal_refund_0122,normal,
synthetic_normal_refund_0123,normal,
synthetic_normal_refund_0124,normal,
synthetic_normal_refund_0125,normal,
synthetic_normal_refund_0126,normal,
synthetic_normal_refund_0127,normal,
synthetic_normal_refund_0128,normal,
synthetic_normal_refund_0129,normal,
